ActualPower;Max Capacity;Location 1;Location 3;Location 5;Location 7
3.356722891560326;45.0;9.1;7.85;7.855;7.52
3.336694415448056;45.0;7.4;7.8839999999999995;7.8660000000000005;7.454
3.2316340909668635;45.0;7.6;7.6979999999999995;7.7139999999999995;7.28
3.0682389643407393;45.0;8.3;7.315;7.391;6.975
2.905205634354433;45.0;9.6;6.85;6.926;6.529
2.601207105484161;45.0;10.6;6.452999999999999;6.466;6.093999999999999
2.432472353828468;45.0;11.1;6.197;6.172999999999999;5.8260000000000005
2.309163408354168;45.0;10.6;5.974;5.95;5.622999999999999
2.2242991745955014;45.0;12.4;5.834;5.8229999999999995;5.5360000000000005
2.1660778483393828;45.0;10.8;5.772;5.749;5.492999999999999
2.2123321040164834;45.0;9.4;5.781000000000001;5.737;5.486000000000001
2.0661029772406554;45.0;10.1;5.771;5.6979999999999995;5.4479999999999995
1.8503427933269523;45.0;11.4;5.727;5.642;5.393
1.691939133945844;45.0;10.1;5.648;5.557;5.318
1.4802399739624186;45.0;9.6;5.581;5.475;5.2379999999999995
1.4168235661547135;45.0;9.0;5.545;5.399;5.162999999999999
0.9984235614126774;45.0;8.2;5.56;5.361000000000001;5.14
0.6439569363691736;45.0;7.7;5.644;5.392;5.205
0.9539717988418436;43.5;8.5;5.83;5.555;5.385
1.1271997455200222;45.0;7.5;6.127000000000001;5.867999999999999;5.693
0.7640715188966439;45.0;6.3;6.4910000000000005;6.28;6.091
1.0289048762432895;45.0;7.5;6.782;6.664;6.4910000000000005
1.5221355840313038;45.0;8.1;6.8839999999999995;6.852;6.723
1.7218733417638885;45.0;6.8;6.796;6.829;6.727
1.8615964288168347;45.0;5.8;6.579;6.645;6.553999999999999
1.8620625930704788;45.0;4.8;6.353;6.42;6.332000000000001
1.6016073333189118;45.0;4.9;5.757000000000001;5.8389999999999995;5.879
1.820670812722475;45.0;5.0;6.024;6.039;5.83
2.035097727827784;45.0;5.2;6.223;6.265;6.064
2.4357164055972285;45.0;4.2;6.1129999999999995;6.127000000000001;5.89
2.7410980551484103;45.0;3.8;5.961;5.928;5.6739999999999995
